video_title,views,likes,comments,published_date,like_ratio,view_ratio,comment_ratio,month,year,day_of_month,week_of_year,quarter,is_weekend,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,channel_title_3blue1brown,channel_title_CodeWithHarry,channel_title_GoogleDevelopers,channel_title_JomaTech,channel_title_LukeBarousse,channel_title_TechWithTim,channel_title_TheCodingTrain,channel_title_TheNetNinja,channel_title_WelchLabs,channel_title_aiExplained,channel_title_codebasics,channel_title_coreyms,channel_title_freecodecamp,channel_title_krishnaik06,channel_title_mlstreettalk,channel_title_realpython,channel_title_sentdex,channel_title_simplilearn,channel_title_statquest,log_views,is_viral
"Unitree G1 LiDAR, SLAM, navigation and control. Dev w/ G1 Humanoid P.2",35941,1157,235,2025-04-30,0.03219164742216401,152.94042553184983,0.006538493642358291,4,2025,30,18,2,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.489661807091968,0
Programming with LLM Agents in 2025,107985,3787,283,2025-02-16,0.03506968560448207,381.57243816240936,0.0026207343612538753,2,2025,16,7,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.58975686807408,1
Visualizing Neural Network Internals,51530,1442,51,2024-02-14,0.027983698816223503,1010.3921568607639,0.0009897147292839104,2,2024,14,7,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.849938847305134,0
OpenAI GPT-4 Function Calling: Unlimited Potential,230489,4782,320,2023-06-15,0.02074719400925857,720.278124999775,0.001388352589494509,6,2023,15,24,2,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12.34796275652979,1
OpenAI's ChatGPT is a MASSIVE step forward in Generative AI,471597,11540,980,2022-12-10,0.02447004539893171,481.2214285713794,0.0020780454498226233,12,2022,10,49,4,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,13.063882206754258,1
OpenAI's ChatGPT creates an operating system,212803,9937,401,2022-12-07,0.046695770266396604,530.6807980048552,0.0018843719308468388,12,2022,7,49,4,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12.268126833265447,1
The Future of User Interfaces with A.I.,72357,2241,293,2022-09-29,0.03097143330983867,246.95221842994985,0.004049366336359987,9,2022,29,39,3,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.189381299547373,0
Python Plays GTA V: Reboot - Announcement,47254,1869,109,2022-05-03,0.03955220722055267,433.5229357794188,0.0023066830321242598,5,2022,3,18,2,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.763313747429157,0
Attacking and Defeating the Enemy - Starcraft 2 AI with Python (p.3),23621,474,53,2022-03-07,0.02006688963210694,445.67924528217793,0.0022437661402988775,3,2022,7,10,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.069933760171793,0
Can we simulate a real robot?,118578,3590,124,2021-10-13,0.030275430518308596,956.2741935476159,0.0010457251766769543,10,2021,13,41,4,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.683334684100483,1
