channel_title,video_title,views,likes,comments,published_date
sentdex,"Unitree G1 LiDAR, SLAM, navigation and control. Dev w/ G1 Humanoid P.2",35941,1157,235,4/30/2025
sentdex,Programming with LLM Agents in 2025,107985,3787,283,2/16/2025
sentdex,Visualizing Neural Network Internals,51530,1442,51,2/14/2024
sentdex,OpenAI GPT-4 Function Calling: Unlimited Potential,230489,4782,320,6/15/2023
sentdex,OpenAI's ChatGPT is a MASSIVE step forward in Generative AI,471597,11540,980,12/10/2022
sentdex,OpenAI's ChatGPT creates an operating system,212803,9937,401,12/7/2022
sentdex,The Future of User Interfaces with A.I.,72357,2241,293,9/29/2022
sentdex,Python Plays GTA V: Reboot - Announcement,47254,1869,109,5/3/2022
sentdex,Attacking and Defeating the Enemy - Starcraft 2 AI with Python (p.3),23621,474,53,3/7/2022
sentdex,Can we simulate a real robot?,118578,3590,124,10/13/2021
sentdex,Autoencoders in Python with Tensorflow/Keras,78924,2046,198,3/1/2021
sentdex,Neural Networks from Scratch (NNFS) in Print!,163650,6288,888,10/28/2020
sentdex,AI-Based Game Engines with GameGAN research paper,51101,1797,226,5/22/2020
sentdex,Neural Networks from Scratch announcement,82513,5153,740,1/10/2020
sentdex,Optimizing Neural Network Structures with Keras-Tuner,97244,2479,184,12/21/2019
sentdex,Cloud GPUs Tutorial (comparing & using),70014,1333,179,9/6/2019
sentdex,Running our Reinforcement Learning Agent - Self-driving cars with Carla and Python p.5,50551,555,119,8/28/2019
sentdex,Training & Testing Deep reinforcement learning (DQN) Agent - Reinforcement Learning p.6,88966,1398,250,6/22/2019
sentdex,Deep Q Learning w/ DQN - Reinforcement Learning p.5,147315,2174,170,6/21/2019
sentdex,Why I use a Standing Desk,27130,909,165,6/3/2019
sentdex,Q Learning Intro/Table - Reinforcement Learning p.1,332736,5304,318,5/30/2019
sentdex,Finishing Chat Application - Kivy Mobile and Desktop App Dev w/ Python,43697,425,63,4/30/2019
sentdex,Changing Screen/view/page - Kivy Mobile and Desktop App Dev w/ Python,45966,699,65,4/25/2019
sentdex,What's It Like to Race a Race Car For the First Time?,26534,1487,243,4/16/2019
sentdex,Sockets Tutorial with Python 3 part 1 - sending and receiving data,834981,13547,632,3/11/2019
sentdex,Models - Django Web Development with Python p.2,102019,1466,137,1/22/2019
sentdex,Calculating Horizontal Winner - Python 3 Programming Tutorial p.10,71904,1372,99,11/4/2018
sentdex,Built-in Functions - Python 3 Programming Tutorial p.4,196625,2528,150,10/30/2018
sentdex,Lists & Tic Tac Toe Game - Python 3 Programming Tutorial p.3,292447,3603,189,10/29/2018
sentdex,Moving to drop off halite - Halite III coding competition p.5,7085,142,16,10/22/2018
sentdex,Moving towards the most halite - Halite III coding competition p.3,9707,165,17,10/19/2018
sentdex,Halite III (2018) AI Competition Introduction,31599,489,65,10/17/2018
sentdex,Embedding and Attaching w/ Image Example - making Discord bots with Discordpy 1.0.0 p.4,30144,225,39,10/16/2018
sentdex,S2000 @ MSR Cresson 3.1 CCW track weekend,3544,113,33,10/4/2018
sentdex,"Normalizing and creating sequences Crypto RNN - Deep Learning w/ Python, TensorFlow and Keras p.9",89428,1376,194,9/16/2018
sentdex,"How to use your trained model - Deep Learning basics with Python, TensorFlow and Keras p.6",233084,3021,436,8/31/2018
sentdex,"Optimizing with TensorBoard - Deep Learning w/ Python, TensorFlow & Keras p.5",138346,2139,229,8/25/2018
sentdex,Version 2 Changes - Python AI in StarCraft II tutorial p.13,9344,215,59,7/21/2018
sentdex,Building Neural Network Model - Python AI in StarCraft II tutorial p.10,17936,326,63,7/13/2018
sentdex,Geysers and Expanding - Python AI in StarCraft II tutorial p.3,20251,476,92,6/23/2018
sentdex,Workers and Pylons - Python AI in StarCraft II tutorial p.2,33747,749,132,6/22/2018
sentdex,Channel Update: Sponsor Button,8752,310,66,5/26/2018
sentdex,Filtering for Puck - Teaching a Robotic Arm to Play Air Hockey p.2,9234,222,47,5/23/2018
sentdex,Intro and Overview of uArm Swift Pro - Teaching a Robotic Arm to Play Air Hockey,35050,529,82,5/22/2018
sentdex,Deep Dream - Unconventional Neural Networks p.7,14080,266,37,4/12/2018
sentdex,Generating Pythonic code with Neural Network - Unconventional Neural Networks p.2,18409,454,83,4/5/2018
sentdex,Generative Model Basics - Unconventional Neural Networks p.1,49942,1047,125,4/4/2018
sentdex,Deploy Dash App - Data Visualization GUIs with Dash and Python p.11,38605,368,79,3/12/2018
sentdex,Streaming Tweets and Sentiment - Data Visualization GUIs with Dash and Python p.7,25097,265,35,2/28/2018
sentdex,Sentiment Analysis in Python with TextBlob and VADER Sentiment (also Dash p.6),76466,1152,96,2/27/2018
sentdex,Deploying Model - Halite II 2017 Artificial Intelligence Competition p.7,14155,220,66,1/12/2018
sentdex,Deep Learning - Halite II 2017 Artificial Intelligence Competition p.4,13899,363,35,1/9/2018
sentdex,"Building Database - Creating a Chatbot with Deep Learning, Python, and TensorFlow p.5",95259,990,472,11/27/2017
sentdex,Buffering and Iterating over Channels - Go Lang Practical  Programming Tutorial p.23,34558,479,27,11/12/2017
sentdex,Looping - Go Lang Practical Programming Tutorial p.12,32474,420,29,10/28/2017
sentdex,Accessing the internet - Go Lang Practical Programming Tutorial p.10,40232,567,54,10/27/2017
sentdex,Determining other vehicle distances & collision warning (object detection) - Self Driving Cars p.18,134536,1967,174,9/4/2017
sentdex,Training Custom Object Detector - TensorFlow Object Detection API Tutorial p.5,232399,1161,863,8/25/2017
sentdex,Cython Tutorial - Bridging between Python and C/C++ for performance gains,309808,5243,350,7/10/2017
sentdex,Self-driving cars with Python and TensorFlow update v0.03,43767,706,97,6/20/2017
sentdex,Self driving car neural network in the city - Python plays GTA with Tensor Flow p.14,1579777,22319,1488,4/21/2017
sentdex,A more interesting self-driving neural network model - Python plays GTA p.13,144639,2095,237,4/18/2017
sentdex,Lane Finding - Python plays Grand Theft Auto 5 p.6,89109,1128,79,4/10/2017
sentdex,Intro and Screen reading - Python plays Grand Theft Auto V p.1,606849,7899,606,4/10/2017
